date,category,period,metric,mw,time_from,time_to,frequency_hz,classification,source_sha256
2024-04-13,maximum,Evening,Consumption,4930,23:00,23:30,49.97,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,maximum,Morning,Generation,430,06:00,06:30,50.05,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,maximum,Morning,Consumption,3836,05:30,06:00,50.07,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,minimum,Night,Generation,374,05:00,05:30,50.00,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,minimum,Night,Consumption,3787,04:00,04:30,50.00,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,minimum,Day,Generation,227,08:00,08:30,50.10,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,minimum,Day,Consumption,3662,09:30,10:00,50.01,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-14,maximum,Day,Generation,390,16:30,17:00,50.07,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,maximum,Day,Consumption,3771,15:30,16:00,50.02,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,maximum,Evening,Generation,1361,22:00,22:30,49.9,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,maximum,Evening,Consumption,5003,22:30,23:00,50.01,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,maximum,Morning,Generation,427,05:00,05:30,50.02,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,maximum,Morning,Consumption,3742,05:00,05:30,50.02,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,minimum,Night,Generation,231,17:30,18:00,50.17,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,minimum,Night,Consumption,3706,18:00,18:30,50.09,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,minimum,Day,Generation,156,07:30,08:00,50.08,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-14,minimum,Day,Consumption,3008,09:30,10:00,50.05,official_observed_reference,b76bfac1071bfdb2d332ebb352f7df8f81d044fffcb258ac34954d468f836975
2024-04-15,maximum,Day,Generation,1105,17:00,17:30,50.04,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,maximum,Day,Consumption,4632,15:30,16:00,50.01,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,maximum,Evening,Generation,1556,22:00,22:30,49.85,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,maximum,Evening,Consumption,5347,23:00,23:30,49.99,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,maximum,Morning,Generation,678,05:30,06:00,50.06,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,maximum,Morning,Consumption,3847,05:30,06:00,50.06,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,minimum,Night,Generation,454,03:30,04:00,50.04,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,minimum,Night,Consumption,3837,05:00,05:30,49.96,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,minimum,Day,Generation,345,09:00,09:30,49.93,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-15,minimum,Day,Consumption,3673,09:00,09:30,49.93,official_observed_reference,6a91eafa4b7244966905f844c4fb7c564f21c6fbc01e775915f9a84b41ffface
2024-04-16,maximum,Day,Generation,1037,15:30,16:00,50.08,official_observed_reference,7e5e7d8210ae2325f36febd0dc752f48aa4a984ee64c0c5319bcd4f806d1e24d
2024-04-16,maximum,Day,Consumption,4829,16:00,16:30,50.04,official_observed_reference,7e5e7d8210ae2325f36febd0dc752f48aa4a984ee64c0c5319bcd4f806d1e24d
2024-04-16,maximum,Evening,Generation,1559,22:00,22:30,50.03,official_observed_reference,7e5e7d8210ae2325f36febd0dc752f48aa4a984ee64c0c5319bcd4f806d1e24d
2024-04-16,maximum,Evening,Consumption,5482,22:30,23:00,50.03,official_observed_reference,7e5e7d8210ae2325f36febd0dc752f48aa4a984ee64c0c5319bcd4f806d1e24d
2024-04-16,maximum,Morning,Generation,989,06:00,06:30,50.05,official_observed_reference,7e5e7d8210ae2325f36febd0dc752f48aa4a984ee64c0c5319bcd4f806d1e24d
2024-04-16,maximum,Morning,Consumption,4074,05:00,05:30,49.94,official_observed_reference,7e5e7d8210ae2325f36febd0dc752f48aa4a984ee64c0c5319bcd4f806d1e24d
2024-04-16,minimum,Night,Generation,922,18:30,19:00,50.03,official_observed_reference,7e5e7d8210ae2325f36febd0dc752f48aa4a984ee64c0c5319bcd4f806d1e24d
