date,interface_name_as_reported,import_mu,month_cumulative_mu,source_daily_average_mu,classification,source_sha256
2024-04-12,400KV KOZHKOD,16.535,193.641,,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
2024-04-12,400KV NORTH TRSR,8.1221,98.914,8.2428,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
2024-04-12,400KV TVM,10.341,119.854,,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
2024-04-12,220KV_KNPA+SBGR +PVUD+EDMN,9.9304,107.6968,8.9747,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
2024-04-12,110KV_MJSM +PRSLA,0.8986,10.2748,,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
2024-04-13,400KV MDKA,13.575,163.526,12.5789,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-13,400KV PKKD,6.838,125.488,,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-13,400KV KOCHI+KOTTAYAM,20.258,234.465,18.0358,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-13,400KV KOZHKOD,15.899,209.54,,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-13,400KV NORTH TRSR,7.5055,106.4194,8.1861,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-13,400KV TVM,9.978,129.832,,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-13,220KV_KNPA+SBGR +PVUD+EDMN,10.1843,117.8811,9.0678,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-13,110KV_MJSM +PRSLA,0.8099,11.0847,,official_observed_reference,3582caf58a1455f8822bf832de7f9ea77a1f3273eaf8bc5d6704c46fdd12d7b8
2024-04-14,400KV MDKA,12.695,176.221,12.5872,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-14,400KV PKKD,6.767,132.255,,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-14,400KV KOCHI+KOTTAYAM,17.718,252.183,18.0131,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-14,400KV KOZHKOD,14.881,224.421,,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-14,400KV NORTH TRSR,6.9679,113.3873,8.0991,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-14,400KV TVM,9.541,139.373,,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-14,220KV_KNPA+SBGR +PVUD+EDMN,9.4347,127.3158,9.094,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-14,110KV_MJSM +PRSLA,0.825,11.9097,,official_observed_reference,1ec6c331f3fafdebe0e39349d311e64743a0dbf561391778ca66a893b559ccb9
2024-04-15,400KV MDKA,12.706,188.927,12.5951,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
2024-04-15,400KV PKKD,9.401,141.656,,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
2024-04-15,400KV KOCHI+KOTTAYAM,18.057,270.24,18.016,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
